word,pos,grapheme,phoneme_real,total_freq
герб,4,б,p,1512
глав,1,г,g,2117
глав,2,л,l,2117
глав,3,а,a0,2117
глав,4,в,f,2117
глаз,1,г,g,53320
глаз,2,л,l,53320
глаз,3,а,a0,53320
глаз,4,з,s,53320
глеб,1,г,g,4133
глеб,2,л,l',4133
глеб,3,е,e0,4133
глеб,4,б,p,4133
глубь,1,г,g,3125
глубь,2,л,l,3125
глубь,3,у,u0,3125
глубь,4,б,p',3125
глубь,5,ь,-,3125
глуп,1,г,g,2923
глуп,2,л,l,2923
глуп,3,у,u0,2923
глуп,4,п,p,2923
гнал,1,г,g,1814
гнал,2,н,n,1814
гнал,3,а,a0,1814
гнал,4,л,l,1814
гнать,1,г,g,2217
гнать,2,н,n,2217
гнать,3,а,a0,2217
гнать,4,т,t',2217
гнать,5,ь,-,2217
гнев,1,г,g,7055
гнев,2,н,n',7055
гнев,3,е,e0,7055
гнев,4,в,f,7055
год,1,г,g,106439
год,2,о,o0,106439
год,3,д,t,106439
гор,1,г,g,13305
гор,2,о,o0,13305
гор,3,р,r,13305
горсть,1,г,g,1512
горсть,2,о,o0,1512
горсть,3,р,r,1512
горсть,4,с,s',1512
горсть,5,т,t',1512
горсть,6,ь,-,1512
гость,1,г,g,10079
гость,2,о,o0,10079
гость,3,с,s',10079
гость,4,т,t',10079
гость,5,ь,-,10079
град,1,г,g,1915
град,2,р,r,1915
град,3,а,a0,1915
град,4,д,t,1915
грань,1,г,g,1714
грань,2,р,r,1714
грань,3,а,a0,1714
грань,4,н,n',1714
грань,5,ь,-,1714
граф,1,г,g,26307
граф,2,р,r,26307
граф,3,а,a0,26307
граф,4,ф,f,26307
грех,1,г,g,14313
грех,2,р,r',14313
грех,3,е,e0,14313
грех,4,х,h,14313
гроб,1,г,g,7660
гроб,2,р,r,7660
гроб,3,о,o0,7660
гроб,4,б,p,7660
гром,1,г,g,4536
гром,2,р,r,4536
гром,3,о,o0,4536
гром,4,м,m,4536
грудь,1,г,g,24493
грудь,2,р,r,24493
грудь,3,у,u0,24493
грудь,4,д,t',24493
грудь,5,ь,-,24493
груз,1,г,g,2117
груз,2,р,r,2117
груз,3,у,u0,2117
груз,4,з,s,2117
групп,1,г,g,11188
групп,2,р,r,11188
групп,3,у,u0,11188
групп,4,п,p,11188
групп,5,п,-,11188
грусть,1,г,g,2621
грусть,2,р,r,2621
грусть,3,у,u0,2621
грусть,4,с,s',2621
грусть,5,т,t',2621
грусть,6,ь,-,2621
грязь,1,г,g,11289
грязь,2,р,r',11289
грязь,3,я,a0,11289
грязь,4,з,s',11289
грязь,5,ь,-,11289
губ,1,г,g,5443
губ,2,у,u0,5443
губ,3,б,p,5443
гул,1,г,g,6552
гул,2,у,u0,6552
гул,3,л,l,6552
гусь,1,г,g,1512
гусь,2,у,u0,1512
гусь,3,с,s',1512
гусь,4,ь,-,1512
да,1,д,d,675524
да,2,а,a0,675524
дав,1,д,d,3225
дав,2,а,a0,3225
дав,3,в,f,3225
дай,1,д,d,26207
дай,2,а,a0,26207
дай,3,й,j,26207
дак,1,д,d,1613
дак,2,а,a0,1613
дак,3,к,k,1613
дал,1,д,d,48885
дал,2,а,a0,48885
дал,3,л,l,48885
даль,1,д,d,5544
даль,2,а,a0,5544
даль,3,л,l',5544
даль,4,ь,-,5544
дам,1,д,d,15019
дам,2,а,a0,15019
дам,3,м,m,15019
дан,1,д,d,3931
дан,2,а,a0,3931
дан,3,н,n,3931
дань,1,д,d,2520
дань,2,а,a0,2520
дань,3,н,n',2520
дань,4,ь,-,2520
дар,1,д,d,7559
дар,2,а,a0,7559
дар,3,р,r,7559
даст,1,д,d,14414
даст,2,а,a0,14414
даст,3,с,s,14414
даст,4,т,t,14414
дать,1,д,d,59872
дать,2,а,a0,59872
дать,3,т,t',59872
дать,4,ь,-,59872
дашь,1,д,d,2419
дашь,2,а,a0,2419
дашь,3,ш,sh,2419
дашь,4,ь,-,2419
два,1,д,d,257631
два,2,в,v,257631
два,3,а,a0,257631
две,1,д,d,117023
две,2,в,v',117023
две,3,е,e0,117023
дверь,1,д,d,75092
дверь,2,в,v',75092
дверь,3,е,e0,75092
дверь,4,р,r',75092
дверь,5,ь,-,75092
двор,1,д,d,29028
двор,2,в,v,29028
двор,3,о,o0,29028
двор,4,р,r,29028
двум,1,д,d,6552
двум,2,в,v,6552
двум,3,у,u0,6552
двум,4,м,m,6552
двух,1,д,d,103920
двух,2,в,v,103920
двух,3,у,u0,103920
двух,4,х,h,103920
де,1,д,d',25098
де,2,е,e0,25098
дед,1,д,d',17034
дед,2,е,e0,17034
дед,3,д,t,17034
дел,1,д,d',41426
дел,2,е,e0,41426
дел,3,л,l,41426
день,1,д,d',267508
день,2,е,e0,267508
день,3,н,n',267508
день,4,ь,-,267508
джон,1,д,d,3729
джон,2,ж,zh,3729
джон,3,о,o0,3729
джон,4,н,n,3729
для,1,д,d,1184333
для,2,л,l',1184333
для,3,я,a0,1184333
дна,1,д,d,7862
дна,2,н,n,7862
дна,3,а,a0,7862
дне,1,д,d',12902
дне,2,н,n',12902
дне,3,е,e0,12902
дней,1,д,d',70959
дней,2,н,n',70959
дней,3,е,e0,70959
дней,4,й,j,70959
дни,1,д,d',64911
дни,2,н,n',64911
дни,3,и,i0,64911
дно,1,д,d,7963
дно,2,н,n,7963
дно,3,о,o0,7963
дном,1,д,d,2923
дном,2,н,n,2923
дном,3,о,o0,2923
дном,4,м,m,2923
дну,1,д,d,2520
дну,2,н,n,2520
дну,3,у,u0,2520
дню,1,д,d',4536
дню,2,н,n',4536
дню,3,ю,u0,4536
дня,1,д,d',123372
дня,2,н,n',123372
дня,3,я,a0,123372
дням,1,д,d',2621
дням,2,н,n',2621
дням,3,я,a0,2621
дням,4,м,m,2621
днях,1,д,d',18647
днях,2,н,n',18647
днях,3,я,a0,18647
днях,4,х,h,18647
днём,1,д,d',38907
днём,2,н,n',38907
днём,3,ё,o0,38907
днём,4,м,m,38907
до,1,д,d,802726
до,2,о,o0,802726
добр,1,д,d,2117
добр,2,о,o0,2117
добр,3,б,b,2117
добр,4,р,r,2117
дождь,1,д,d,22881
дождь,2,о,o0,22881
дождь,3,ж,zh,22881
дождь,4,д,t',22881
дождь,5,ь,-,22881
долг,1,д,d,13507
долг,2,о,o0,13507
долг,3,л,l,13507
долг,4,г,k,13507
дом,1,д,d,94847
дом,2,о,o0,94847
дом,3,м,m,94847
дон,1,д,d,3931
дон,2,о,o0,3931
дон,3,н,n,3931
дочь,1,д,d,39511
дочь,2,о,o0,39511
дочь,3,ч,ch,39511
дочь,4,ь,-,39511
дров,1,д,d,2923
дров,2,р,r,2923
дров,3,о,o0,2923
дров,4,в,f,2923
дрожь,1,д,d,1915
дрожь,2,р,r,1915
дрожь,3,о,o0,1915
дрожь,4,ж,sh,1915
дрожь,5,ь,-,1915
друг,1,д,d,129622
друг,2,р,r,129622
друг,3,у,u0,129622
друг,4,г,k,129622
дрянь,1,д,d,3830
дрянь,2,р,r',3830
дрянь,3,я,a0,3830
дрянь,4,н,n',3830
дрянь,5,ь,-,3830
дуб,1,д,d,1613
дуб,2,у,u0,1613
дуб,3,б,p,1613
дул,1,д,d,2923
дул,2,у,u0,2923
дул,3,л,l,2923
дум,1,д,d,1915
дум,2,у,u0,1915
дум,3,м,m,1915
дух,1,д,d,26408
дух,2,у,u0,26408
дух,3,х,h,26408
душ,1,д,d,9676
душ,2,у,u0,9676
душ,3,ш,sh,9676
дым,1,д,d,10180
дым,2,ы,y0,10180
дым,3,м,m,10180
е,1,е,je0,1915
